date,volcano,track_type,value,image_path,image_url
2026-04-11T09:57:54,Villarrica,disp,0,,
2026-04-11T09:57:54,Villarrica,disp,0.0,,
2026-04-11T09:57:54,Villarrica,disp,0.005,,
2026-04-11T09:57:54,Villarrica,coh,0,,
2026-04-11T09:57:54,Villarrica,coh,245039.0,,
2026-04-11T09:57:54,Villarrica,coh,597461.7,,
2026-06-03T10:01:34,Lascar,disp,0,,
2026-06-03T10:01:34,Lascar,disp,0.0,,
2026-06-03T10:01:34,Lascar,disp,0.005,,
2026-06-03T10:01:34,Lascar,int,0,,
2026-06-03T10:01:34,Lascar,int,0.0,,
2026-06-03T10:01:34,Lascar,int,1,,
2026-06-03T10:01:34,Lascar,coh,0,,
2026-06-03T10:01:34,Lascar,coh,168749.0,,
2026-06-03T10:01:34,Lascar,coh,565493.5,,
2026-06-05T23:27:29,Planchon-Peteroa,disp,0,,
2026-06-05T23:27:29,Planchon-Peteroa,disp,0.0,,
2026-06-05T23:27:29,Planchon-Peteroa,disp,0.005,,
2026-06-05T23:27:29,Planchon-Peteroa,int,0,,
2026-06-05T23:27:29,Planchon-Peteroa,int,0.1,,
2026-06-05T23:27:29,Planchon-Peteroa,int,1,,
2026-06-05T23:27:29,Planchon-Peteroa,coh,0,,
2026-06-05T23:27:29,Planchon-Peteroa,coh,398873.0,,
2026-06-05T23:27:29,Planchon-Peteroa,coh,571799.8,,
2026-06-10T09:57:02,Nevados de Chillan,disp,0,,
2026-06-10T09:57:02,Nevados de Chillan,disp,0.0,,
2026-06-10T09:57:02,Nevados de Chillan,disp,0.005,,
2026-06-10T09:57:02,Nevados de Chillan,int,0,,
2026-06-10T09:57:02,Nevados de Chillan,int,0.0,,
2026-06-10T09:57:02,Nevados de Chillan,int,1,,
2026-06-10T09:57:02,Nevados de Chillan,coh,0,,
2026-06-10T09:57:02,Nevados de Chillan,coh,527568.0,,
2026-06-10T09:57:02,Nevados de Chillan,coh,588826.7,,
2026-06-10T09:57:27,Copahue,disp,0,,
2026-06-10T09:57:27,Copahue,disp,0.0,,
2026-06-10T09:57:27,Copahue,disp,0.005,,
2026-06-10T09:57:27,Copahue,int,0,,
2026-06-10T09:57:27,Copahue,int,0.0,,
2026-06-10T09:57:27,Copahue,int,1,,
2026-06-10T09:57:27,Copahue,coh,0,,
2026-06-10T09:57:27,Copahue,coh,514758.0,,
2026-06-10T09:57:27,Copahue,coh,584040.6,,
2026-06-10T09:57:27,Llaima,disp,0,,
2026-06-10T09:57:27,Llaima,disp,0.0,,
2026-06-10T09:57:27,Llaima,disp,0.005,,
2026-06-10T09:57:27,Llaima,int,0,,
2026-06-10T09:57:27,Llaima,int,0.0,,
2026-06-10T09:57:27,Llaima,int,1,,
2026-06-10T09:57:27,Llaima,coh,0,,
2026-06-10T09:57:27,Llaima,coh,481948.0,,
2026-06-10T09:57:27,Llaima,coh,594510.4,,
2026-06-10T09:57:52,Villarrica,int,0,,
2026-06-10T09:57:52,Villarrica,int,0.0,,
2026-06-10T09:57:52,Villarrica,int,1,,
2026-06-13T14:27:09,Copahue,nir,0.1,,
2026-06-13T14:27:09,Copahue,nir,0.1,,
2026-06-13T14:27:09,Copahue,nir,100000.0,,
2026-06-13T14:27:09,Llaima,nir,0.1,,
2026-06-13T14:27:09,Llaima,nir,0.1,,
2026-06-13T14:27:09,Llaima,nir,100000.0,,
2026-06-13T14:27:09,Planchon-Peteroa,nir,0.1,,
2026-06-13T14:27:09,Planchon-Peteroa,nir,0.1,,
2026-06-13T14:27:09,Planchon-Peteroa,nir,100000.0,,
2026-06-13T14:27:09,Villarrica,nir,0.1,,
2026-06-13T14:27:09,Villarrica,nir,0.1,,
2026-06-13T14:27:09,Villarrica,nir,100000.0,,
2026-06-13T14:38:01,Lascar,nir,0.1,,
2026-06-13T14:38:01,Lascar,nir,1.0,,
2026-06-13T14:38:01,Lascar,nir,100000.0,,
2026-06-13T14:38:01,Nevados de Chillan,nir,0.1,,
2026-06-13T14:38:01,Nevados de Chillan,nir,0.1,,
2026-06-13T14:38:01,Nevados de Chillan,nir,100000.0,,
2026-06-14T19:04:35,Copahue,so2,0.1,,
2026-06-14T19:04:35,Copahue,so2,0.1,,
2026-06-14T19:04:35,Copahue,so2,1000000.0,,
2026-06-14T19:04:35,Llaima,so2,0.1,,
2026-06-14T19:04:35,Llaima,so2,0.1,,
2026-06-14T19:04:35,Llaima,so2,1000000.0,,
2026-06-14T19:04:35,Nevados de Chillan,so2,0.1,,
2026-06-14T19:04:35,Nevados de Chillan,so2,0.1,,
2026-06-14T19:04:35,Nevados de Chillan,so2,1000000.0,,
2026-06-14T19:04:35,Planchon-Peteroa,so2,0.1,,
2026-06-14T19:04:35,Planchon-Peteroa,so2,0.1,,
2026-06-14T19:04:35,Planchon-Peteroa,so2,1000000.0,,
2026-06-14T19:04:35,Villarrica,so2,0.1,,
2026-06-14T19:04:35,Villarrica,so2,0.1,,
2026-06-14T19:04:35,Villarrica,so2,1000000.0,,
2026-06-14T19:09:35,Lascar,so2,0.1,,
2026-06-14T19:09:35,Lascar,so2,0.1,,
2026-06-14T19:09:35,Lascar,so2,1000000.0,,
