date,volcano,track_type,value,image_path,image_url
2026-04-11T09:57:54,Villarrica,disp,0,,
2026-04-11T09:57:54,Villarrica,disp,0.0,,
2026-04-11T09:57:54,Villarrica,disp,0.005,,
2026-04-11T09:57:54,Villarrica,coh,0,,
2026-04-11T09:57:54,Villarrica,coh,245039.0,,
2026-04-11T09:57:54,Villarrica,coh,597461.7,,
2026-06-22T09:57:02,Nevados de Chillan,disp,0,,
2026-06-22T09:57:02,Nevados de Chillan,disp,0.0,,
2026-06-22T09:57:02,Nevados de Chillan,disp,0.005,,
2026-06-22T09:57:02,Nevados de Chillan,int,0,,
2026-06-22T09:57:02,Nevados de Chillan,int,0.0,,
2026-06-22T09:57:02,Nevados de Chillan,int,1,,
2026-06-22T09:57:02,Nevados de Chillan,coh,0,,
2026-06-22T09:57:02,Nevados de Chillan,coh,533466.0,,
2026-06-22T09:57:02,Nevados de Chillan,coh,588826.7,,
2026-06-22T09:57:27,Copahue,disp,0,,
2026-06-22T09:57:27,Copahue,disp,0.0,,
2026-06-22T09:57:27,Copahue,disp,0.005,,
2026-06-22T09:57:27,Copahue,int,0,,
2026-06-22T09:57:27,Copahue,int,0.0,,
2026-06-22T09:57:27,Copahue,int,1,,
2026-06-22T09:57:27,Copahue,coh,0,,
2026-06-22T09:57:27,Copahue,coh,523203.0,,
2026-06-22T09:57:27,Copahue,coh,584040.6,,
2026-06-22T09:57:27,Llaima,disp,0,,
2026-06-22T09:57:27,Llaima,disp,0.0,,
2026-06-22T09:57:27,Llaima,disp,0.005,,
2026-06-22T09:57:27,Llaima,int,0,,
2026-06-22T09:57:27,Llaima,int,0.0,,
2026-06-22T09:57:27,Llaima,int,1,,
2026-06-22T09:57:27,Llaima,coh,0,,
2026-06-22T09:57:27,Llaima,coh,538416.0,,
2026-06-22T09:57:27,Llaima,coh,594510.4,,
2026-06-22T09:57:51,Villarrica,int,0,,
2026-06-22T09:57:51,Villarrica,int,0.0,,
2026-06-22T09:57:51,Villarrica,int,1,,
2026-06-26T14:37:39,Lascar,nir,0.1,,
2026-06-26T14:37:39,Lascar,nir,4.0,,
2026-06-26T14:37:39,Lascar,nir,100000.0,,
2026-06-28T10:00:35,Lascar,disp,0,,
2026-06-28T10:00:35,Lascar,disp,0.0,,
2026-06-28T10:00:35,Lascar,disp,0.005,,
2026-06-28T10:00:35,Lascar,int,0,,
2026-06-28T10:00:35,Lascar,int,0.0,,
2026-06-28T10:00:35,Lascar,int,1,,
2026-06-28T10:00:35,Lascar,coh,0,,
2026-06-28T10:00:35,Lascar,coh,202327.0,,
2026-06-28T10:00:35,Lascar,coh,565493.5,,
2026-06-28T14:27:11,Copahue,nir,0.1,,
2026-06-28T14:27:11,Copahue,nir,0.1,,
2026-06-28T14:27:11,Copahue,nir,100000.0,,
2026-06-28T14:27:11,Nevados de Chillan,nir,0.1,,
2026-06-28T14:27:11,Nevados de Chillan,nir,0.1,,
2026-06-28T14:27:11,Nevados de Chillan,nir,100000.0,,
2026-06-28T14:27:11,Planchon-Peteroa,nir,0.1,,
2026-06-28T14:27:11,Planchon-Peteroa,nir,0.1,,
2026-06-28T14:27:11,Planchon-Peteroa,nir,100000.0,,
2026-06-30T14:28:11,Llaima,nir,0.1,,
2026-06-30T14:28:11,Llaima,nir,0.1,,
2026-06-30T14:28:11,Llaima,nir,100000.0,,
2026-06-30T14:28:11,Villarrica,nir,0.1,,
2026-06-30T14:28:11,Villarrica,nir,0.1,,
2026-06-30T14:28:11,Villarrica,nir,100000.0,,
2026-06-30T19:07:35,Copahue,so2,0.1,,
2026-06-30T19:07:35,Copahue,so2,0.1,,
2026-06-30T19:07:35,Copahue,so2,1000000.0,,
2026-06-30T19:07:35,Llaima,so2,0.1,,
2026-06-30T19:07:35,Llaima,so2,0.1,,
2026-06-30T19:07:35,Llaima,so2,1000000.0,,
2026-06-30T19:07:35,Nevados de Chillan,so2,0.1,,
2026-06-30T19:07:35,Nevados de Chillan,so2,0.1,,
2026-06-30T19:07:35,Nevados de Chillan,so2,1000000.0,,
2026-06-30T19:07:35,Planchon-Peteroa,so2,0.1,,
2026-06-30T19:07:35,Planchon-Peteroa,so2,0.1,,
2026-06-30T19:07:35,Planchon-Peteroa,so2,1000000.0,,
2026-06-30T19:07:35,Villarrica,so2,0.1,,
2026-06-30T19:07:35,Villarrica,so2,0.1,,
2026-06-30T19:07:35,Villarrica,so2,1000000.0,,
2026-06-30T19:12:34,Lascar,so2,0.1,,
2026-06-30T19:12:34,Lascar,so2,0.1,,
2026-06-30T19:12:34,Lascar,so2,1000000.0,,
2026-06-30T23:26:54,Planchon-Peteroa,disp,0,,
2026-06-30T23:26:54,Planchon-Peteroa,disp,0.000309,,
2026-06-30T23:26:54,Planchon-Peteroa,disp,0.005,,
2026-06-30T23:26:54,Planchon-Peteroa,int,0,,
2026-06-30T23:26:54,Planchon-Peteroa,int,0.1,,
2026-06-30T23:26:54,Planchon-Peteroa,int,1,,
2026-06-30T23:26:54,Planchon-Peteroa,coh,0,,
2026-06-30T23:26:54,Planchon-Peteroa,coh,509383.0,,
2026-06-30T23:26:54,Planchon-Peteroa,coh,571799.8,,
